n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
10000,0.030137123745819398,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9513,,,0.026942905539697477,0.03364656458894327,2.5920127279937963e-06,3.215330605844492e-06,0.006703659049245797,3.3564095861246626e-08
10000,0.030137123745819398,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.4969775880350612,0.08329449066658308,0.0,0.03307193070825026,0.0,3.1632395540881352e-06,0.03307193070825026,3.1632395540881352e-06
10000,0.030137123745819398,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9508,,,0.026987495519628577,0.03369587916006459,2.5917613277456464e-06,3.2143906408547448e-06,0.006708383640436012,3.349663031656988e-08
10000,0.030137123745819398,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.48921843422876155,0.0831781477395925,0.0,0.033120872921008127,0.0,3.1623596857647913e-06,0.033120872921008127,3.1623596857647913e-06
10000,0.030137123745819398,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9513,,,0.026898309166448014,0.0335972378214022,2.5922635378752585e-06,3.216271621403298e-06,0.0066989286549541845,3.3631791662763903e-08
10000,0.030137123745819398,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5047376294113106,0.08335912704320365,0.0,0.03302297676272914,0.0,3.164120324501382e-06,0.03302297676272914,3.164120324501382e-06
10000,0.030468227424749163,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9493,,,0.02724125148048745,0.03397871660403637,2.658713562649405e-06,3.2944384748926996e-06,0.006737465123548912,3.4057933504678656e-08
10000,0.030468227424749163,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.49849669177679334,0.0835252687634942,0.0,0.03340139101576455,0.0,3.241325491148919e-06,0.03340139101576455,3.241325491148919e-06
10000,0.030468227424749163,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.952,,,0.0272858268327483,0.034027982776036546,2.6584519224350458e-06,3.2934794131009304e-06,0.006742155943288246,3.398999339219668e-08
10000,0.030468227424749163,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.49079723490819854,0.0834549905838532,0.0,0.033450287535227816,0.0,3.240427269081517e-06,0.033450287535227816,3.240427269081517e-06
10000,0.030468227424749163,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.9529,,,0.02719666970092161,0.033929438282087665,2.6589746137862973e-06,3.295398594424753e-06,0.006732768581166051,3.412610345757217e-08
10000,0.030468227424749163,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.5061975848882465,0.08354518536389062,0.0,0.033352482803558965,0.0,3.2422246220351733e-06,0.033352482803558965,3.2422246220351733e-06
10000,0.03079933110367893,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9515,,,0.0275329645774902,0.03430332554853933,2.6938064143076815e-06,3.3341174984696075e-06,0.00677036097104913,3.4121188719605514e-08
10000,0.03079933110367893,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5022015654208599,0.08405096622187164,0.0,0.033723380822574436,0.0,3.280637000981268e-06,0.033723380822574436,3.280637000981268e-06
10000,0.03079933110367893,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9484,,,0.027577525446342996,0.03435254459426647,2.6935373842756086e-06,3.3331510933073875e-06,0.0067750191479234775,3.4053664239118864e-08
10000,0.03079933110367893,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.4945653177609269,0.08400688743643131,0.0,0.03377223283114265,0.0,3.279731400161835e-06,0.03377223283114265,3.279731400161835e-06
