n,p,conf_level,n_sims,prior,prior_a,prior_b,tail,coverage,conservatism_mean,conservatism_var,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var
1000,0.0016732441471571907,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6155254911126685,0.0904487157497501,0.0,0.0038483905291988633,0.0,5.8987737680430825e-06,0.0038483905291988633,5.8987737680430825e-06
1000,0.0016896321070234113,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9726,,,0.00041648705216282923,0.005733483039651932,2.2967036723234153e-07,4.910223989045455e-06,0.005316995987489103,3.156647785455239e-06
1000,0.0016896321070234113,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.4971381876003108,0.08476473749396196,0.0,0.0049122123433443365,0.0,4.300208139832765e-06,0.0049122123433443365,4.300208139832765e-06
1000,0.0016896321070234113,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9726,,,0.0005791561733111198,0.006610880328732759,2.985820090901778e-07,4.335670638965283e-06,0.006031724155421639,2.431433905210502e-06
1000,0.0016896321070234113,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.3838828638915345,0.0680103972422714,0.0,0.005731873984058424,0.0,3.841041761206062e-06,0.005731873984058424,3.841041761206062e-06
1000,0.0016896321070234113,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.8134,,,0.0002859550322954388,0.004574715816423989,1.6541392795963767e-07,7.468342309499437e-06,0.00428876078412855,5.801015898594434e-06
1000,0.0016896321070234113,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6110759444579449,0.09067379999343053,0.0,0.003904533776046445,0.0,5.88389800984654e-06,0.003904533776046445,5.88389800984654e-06
1000,0.001706020066889632,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9711,,,0.00041567560824251214,0.005713901611577638,2.3670849865801562e-07,5.016947318261779e-06,0.005298226003335127,3.2234116636462438e-06
1000,0.001706020066889632,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.5036010896281525,0.08555625776639383,0.0,0.004894210609654273,0.0,4.393733499009396e-06,0.004894210609654273,4.393733499009396e-06
1000,0.001706020066889632,0.95,10000,"Laplace (1,1)",1.0,1.0,two_sided,0.9711,,,0.0005773441964262128,0.006593714725912261,3.069119481494192e-07,4.4277258733883774e-06,0.006016370529486048,2.480723505104246e-06
1000,0.001706020066889632,0.95,10000,"Laplace (1,1)",1.0,1.0,upper,,0.39064806492144727,0.06941892932380032,0.0,0.005715935728598116,0.0,3.9228666737463545e-06,0.005715935728598116,3.9228666737463545e-06
1000,0.001706020066889632,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,two_sided,0.8043,,,0.00028595859220984003,0.004542554946767044,1.7149690259850875e-07,7.661740598553656e-06,0.004256596354557204,5.952204405563913e-06
1000,0.001706020066889632,0.95,10000,"Haldane (~1e-06,1e-06)",1e-06,1e-06,upper,,0.6165852514436204,0.09052031793168328,0.0,0.003878172409458223,0.0,6.029163309970354e-06,0.003878172409458223,6.029163309970354e-06
1000,0.0017224080267558527,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,two_sided,0.9676,,,0.0004278378605511511,0.005780141650142831,2.4001119845453143e-07,5.020419966384336e-06,0.00535230378959168,3.2095152717362368e-06
1000,0.0017224080267558527,0.95,10000,"Jeffreys (1/2,1/2)",0.5,0.5,upper,,0.49844021990515996,0.08520858312375426,0.0,0.004956077720255818,0.0,4.398682901398061e-06,0.004956077720255818,4.398682901398061e-06
