t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_n,scenario_p
23,pre_drift,cp,0.01,0.972,0.05259832446823745,0.028,0.0012129240629630061,0.05381124853119996,6.24678892621387e-06,0.00027997787757449207,0.05259832446823745,0.00021523785348104068,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
24,pre_drift,cp,0.01,0.98,0.05191722140471522,0.02,0.0011240439413326144,0.05304126534604738,4.848611341219176e-06,0.0002696311426043231,0.05191722140471522,0.0002131152622763953,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
25,post_drift,cp,0.010227272727272727,0.983,0.05231120031970792,0.017,0.0010993814417569747,0.0534105817614644,4.27723567150909e-06,0.00025554286475826596,0.05231120031970792,0.00020397559321772875,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
26,post_drift,cp,0.010454545454545454,0.982,0.053302480517790414,0.018,0.001284734535850169,0.054587215053640205,5.642360312831549e-06,0.0002824692251570211,0.053302480517790414,0.00022025033278202282,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
27,post_drift,cp,0.010681818181818181,0.978,0.05352560364579245,0.022,0.0012864197123506225,0.05481202335814259,5.6307442772962995e-06,0.00027737534158930877,0.05352560364579245,0.0002153803260623796,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
28,post_drift,cp,0.01090909090909091,0.981,0.05332827239323837,0.019,0.0013021820661069964,0.05463045445934492,5.659502466453461e-06,0.00028533163457354453,0.05332827239323837,0.00022181525076823798,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
29,post_drift,cp,0.011136363636363637,0.996,0.05422720372096341,0.024,0.0013926145750966226,0.05561981829605952,5.923032930314391e-06,0.00028764256997265876,0.05422720372096341,0.00022252062590931388,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
30,post_drift,cp,0.011363636363636364,0.997,0.054242057108354474,0.024,0.0014027377843944158,0.0556447948927484,5.834826535597741e-06,0.0002895757143760243,0.054242057108354474,0.00022447128771130396,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
31,post_drift,cp,0.011590909090909091,0.996,0.053902455460875555,0.026,0.001373189269336444,0.055275644730211536,6.091794179379365e-06,0.0002905843567062921,0.053902455460875555,0.000224213218309986,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
32,post_drift,cp,0.011818181818181818,0.995,0.0555632317740903,0.036,0.001639172473508682,0.057202404247598475,7.681629260170754e-06,0.00031498041092757655,0.0555632317740903,0.00023675566458058496,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
33,post_drift,cp,0.012045454545454545,0.994,0.056510995011972424,0.042,0.001807364526571343,0.05831835953854329,8.648934057023658e-06,0.0003303041763496133,0.056510995011972424,0.0002455157183457353,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
34,post_drift,cp,0.012272727272727274,0.995,0.05506383229574553,0.038,0.0015679335796378309,0.056631765875382906,7.591508306869708e-06,0.0003111570004802372,0.05506383229574553,0.00023428045921045255,68,24,100,0.01,0.01,1000,0.95,0.050000000000000044,Small Sample,100,0.01
