t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
9,pre_drift,cp,0.01,0.98,0.013353702057041297,0.02,0.004878600671648905,0.018232302728690492,4.454747236979627e-06,1.5844817272986475e-05,0.013353702057041297,3.550346714246023e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
10,pre_drift,cp,0.01,0.9757,0.013377202446438136,0.0243,0.004916794332329964,0.018293996778768452,4.687594169927487e-06,1.6620125938902983e-05,0.013377202446438136,3.715046353041225e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
11,pre_drift,cp,0.01,0.9765,0.01339184480369792,0.0235,0.004934026484404727,0.018325871288102993,4.710175773429795e-06,1.668336273479812e-05,0.01339184480369792,3.723714944285704e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
12,pre_drift,cp,0.01,0.9795,0.0133776574469211,0.0205,0.004905992473252571,0.01828364992017395,4.526017871723734e-06,1.5983991072731057e-05,0.0133776574469211,3.5534093677958446e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
13,pre_drift,cp,0.01,0.9768,0.013344046662350534,0.0232,0.004874469593459524,0.018218516255810356,4.594824612087303e-06,1.6303367011853156e-05,0.013344046662350534,3.64670946887739e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
14,pre_drift,cp,0.01,0.9774,0.013377880097046217,0.0226,0.004918531927885325,0.018296412024931888,4.7246995557496056e-06,1.67246815140748e-05,0.013377880097046217,3.7286554460508033e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
15,pre_drift,cp,0.01,0.9783,0.013334766445642021,0.0217,0.0048639682790786965,0.018198734724721048,4.584468608351042e-06,1.6283053482889903e-05,0.013334766445642021,3.6464295150265714e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
16,pre_drift,cp,0.01,0.9737,0.013321879128780276,0.0263,0.004854283028411581,0.018176162157192133,4.675727347950717e-06,1.6594434859049903e-05,0.013321879128780276,3.7155801051703085e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
17,pre_drift,cp,0.01,0.9776,0.0133447432825033,0.0224,0.00487732459393298,0.0182220678764366,4.649558421453222e-06,1.6463118825302172e-05,0.0133447432825033,3.6763878494861532e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
18,pre_drift,cp,0.01,0.976,0.013374616153291542,0.024,0.004909779993733639,0.018284396147025435,4.6170866031375234e-06,1.6365007323258492e-05,0.013374616153291542,3.6570843017097194e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
19,pre_drift,cp,0.01,0.976,0.01336512474527986,0.024,0.004900219482388666,0.018265344227668814,4.618845092395828e-06,1.6399056498610264e-05,0.01336512474527986,3.6743390634986378e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
20,pre_drift,cp,0.01,0.978,0.013334053590420811,0.022,0.004867600744304085,0.018201654334725197,4.62414158803523e-06,1.6492707542529127e-05,0.013334053590420811,3.710554732451926e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
21,pre_drift,cp,0.01,0.9759,0.013357698237653244,0.0241,0.004890607784838707,0.018248306022492177,4.6413601487992535e-06,1.6411584295414653e-05,0.013357698237653244,3.656265029863907e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
22,pre_drift,cp,0.01,0.9782,0.013338736535371123,0.0218,0.004864958734607415,0.0182036952699788,4.531755407221721e-06,1.6087279552468275e-05,0.013338736535371123,3.596613656134531e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
23,pre_drift,cp,0.01,0.9747,0.013327135540326558,0.0253,0.00485966213034251,0.018186797670669327,4.644079572465362e-06,1.65267809268695e-05,0.013327135540326558,3.707994234382632e-06,68,24,1000,0.01,0.01,10000,0.95,0.050000000000000044,Baseline,baseline,1000,0.01
