t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
13,pre_drift,cp,0.01,0.9573,0.003998573161389735,0.0427,0.008134188388962318,0.012132761550352153,7.8859089127583e-07,1.1615431013883631e-06,0.003998573161389735,3.604225453081471e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
14,pre_drift,cp,0.01,0.955,0.004002467316706727,0.045,0.008152920653539654,0.012155387970246526,8.057793168039773e-07,1.1865606180457456e-06,0.004002467316706727,3.677610817527606e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
15,pre_drift,cp,0.01,0.9576,0.003999796114085439,0.0424,0.008140243581418271,0.012140039695503802,8.003564919761765e-07,1.1785562316969135e-06,0.003999796114085439,3.652371766725015e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
16,pre_drift,cp,0.01,0.9562,0.004003920838724447,0.0438,0.008159839900028668,0.012163760738753228,8.098852376667244e-07,1.1924540844383022e-06,0.004003920838724447,3.6936873089972526e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
17,pre_drift,cp,0.01,0.9562,0.0039975969915398216,0.0438,0.008130209270515165,0.012127806262055072,8.063385321701975e-07,1.1878913901277135e-06,0.0039975969915398216,3.6890239884777875e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
18,pre_drift,cp,0.01,0.9576,0.004002702926174872,0.0424,0.008154012199389372,0.012156715125564354,8.051460838878689e-07,1.1857051917018094e-06,0.004002702926174872,3.675963601824331e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
19,pre_drift,cp,0.01,0.9574,0.004002628696746677,0.0426,0.008153639506258326,0.012156268203005097,8.049603857021315e-07,1.1852699574642703e-06,0.004002628696746677,3.672232994424862e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
20,pre_drift,cp,0.01,0.9556,0.0040015566238775545,0.0444,0.008149048590133044,0.012150605214010637,8.166680072144584e-07,1.2030089511585486e-06,0.0040015566238775545,3.734457395653933e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
21,pre_drift,cp,0.01,0.9522,0.004006297422306871,0.0478,0.008171375128430435,0.012177672550737425,8.227399023655048e-07,1.2113078055025074e-06,0.004006297422306871,3.751248907064419e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
22,pre_drift,cp,0.01,0.9537,0.004001665277272689,0.0463,0.008149213897598952,0.012150879174871735,8.065585275906378e-07,1.187918562993315e-06,0.004001665277272689,3.684707037530344e-08,68,24,10000,0.01,0.01,10000,0.95,0.050000000000000044,Large Sample,large_sample,10000,0.01
