t,phase,method,p_true,coverage,avg_length,reject_rate,lb_mean,ub_mean,lb_var,ub_var,len_mean,len_var,T,T0,n,p_hat,delta,n_sim,conf_level,alpha_nominal,scenario,scenario_slug,scenario_n,scenario_p
14,pre_drift,cp,0.01,0.9833,0.05236511400505576,0.0167,0.0011280120521966596,0.05349312605726046,4.736035665639225e-06,0.0002621464718468567,0.05236511400505576,0.00020752931578266317,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
15,pre_drift,cp,0.01,0.9813,0.0524105840409439,0.0187,0.0011691556029567805,0.053579739643908525,5.163104549753926e-06,0.00027198476966187705,0.0524105840409439,0.0002138649598773701,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
16,pre_drift,cp,0.01,0.9809,0.05263856987059086,0.0191,0.0011885587023770796,0.05382712857297573,5.217105748264663e-06,0.00027222256329623813,0.05263856987059086,0.00021368375278136252,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
17,pre_drift,cp,0.01,0.9814,0.05209085595938862,0.0186,0.0011127276837298015,0.05320358364312636,4.965215352471437e-06,0.00026388748553933007,0.05209085595938862,0.00020797534299694118,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
18,pre_drift,cp,0.01,0.9831,0.052145698216669555,0.0169,0.001129255765130743,0.05327495398180837,4.935743979075761e-06,0.0002668582632730232,0.052145698216669555,0.0002106441200047447,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
19,pre_drift,cp,0.01,0.9821,0.05245619070523515,0.0179,0.0011581198583963444,0.05361431056363941,5.151267692142633e-06,0.00026830094544642337,0.05245619070523515,0.00021084848873259218,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
20,pre_drift,cp,0.01,0.9806,0.05244713573313153,0.0194,0.001168669963461843,0.0536158056966012,5.292015280357359e-06,0.0002712193111381817,0.05244713573313153,0.00021261522310616916,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
21,pre_drift,cp,0.01,0.982,0.05247702860208684,0.018,0.0011659735797085985,0.05364300218180322,5.091396285400272e-06,0.00026961177042253816,0.05247702860208684,0.00021202082197405766,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
22,pre_drift,cp,0.01,0.9824,0.05241931143164933,0.0176,0.001152164043464079,0.05357147547512132,5.065649834246098e-06,0.00026752907858227076,0.05241931143164933,0.00021059078872307695,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
23,pre_drift,cp,0.01,0.9816,0.05254386901643021,0.0184,0.0011869422540820502,0.053730811270520075,5.246366883373958e-06,0.00027382769818114954,0.05254386901643021,0.00021500080909622396,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
24,pre_drift,cp,0.01,0.9797,0.052276330874442396,0.0203,0.0011592505411034742,0.05343558141555364,5.276681340774692e-06,0.0002722876254365493,0.052276330874442396,0.00021362584970659963,68,24,100,0.01,0.01,10000,0.95,0.050000000000000044,Small Sample,small_sample,100,0.01
