n,p_true,np_target,rho,method,coverage,avg_length,reject_star_rate,conf_level,n_sim
50,0.006,0.3,0.1,cp,0.9634,0.07765085364884812,0.0366,0.95,5000
50,0.006,0.3,0.1,normal,0.0774,0.009866391785551331,0.9226,0.95,5000
50,0.006,0.3,0.15,jeffreys,0.9512,0.05552966334411888,0.0488,0.95,5000
50,0.006,0.3,0.15,cp,0.9636,0.07760248496201855,0.0364,0.95,5000
50,0.006,0.3,0.15,normal,0.0566,0.00951148819050365,0.9434,0.95,5000
50,0.006,0.3,0.2,jeffreys,0.9582,0.05434132640353174,0.0418,0.95,5000
50,0.006,0.3,0.2,cp,0.97,0.07648167332104581,0.03,0.95,5000
50,0.006,0.3,0.2,normal,0.042,0.007787723011813167,0.958,0.95,5000
50,0.006999999999999999,0.35,0.0,jeffreys,0.9478,0.0618514876483873,0.0522,0.95,5000
50,0.006999999999999999,0.35,0.0,cp,0.9946,0.08305129154128309,0.0054,0.95,5000
50,0.006999999999999999,0.35,0.0,normal,0.2996,0.019651718892459927,0.7004,0.95,5000
50,0.006999999999999999,0.35,0.01,jeffreys,0.9312,0.06080107252662797,0.0688,0.95,5000
50,0.006999999999999999,0.35,0.01,cp,0.9814,0.08219152985883792,0.0186,0.95,5000
50,0.006999999999999999,0.35,0.01,normal,0.2506,0.017976004533129506,0.7494,0.95,5000
50,0.006999999999999999,0.35,0.02,jeffreys,0.9198,0.05991062018523586,0.0802,0.95,5000
50,0.006999999999999999,0.35,0.02,cp,0.9696,0.0814665111520265,0.0304,0.95,5000
50,0.006999999999999999,0.35,0.02,normal,0.2054,0.01653350255546565,0.7946,0.95,5000
50,0.006999999999999999,0.35,0.05,jeffreys,0.9238,0.05853250860511124,0.0762,0.95,5000
50,0.006999999999999999,0.35,0.05,cp,0.9588,0.08030546952261233,0.0412,0.95,5000
50,0.006999999999999999,0.35,0.05,normal,0.141,0.014271492359333966,0.859,0.95,5000
50,0.006999999999999999,0.35,0.1,jeffreys,0.9312,0.05754883449639611,0.0688,0.95,5000
50,0.006999999999999999,0.35,0.1,cp,0.9532,0.07948790005291716,0.0468,0.95,5000
50,0.006999999999999999,0.35,0.1,normal,0.0902,0.012556881122215221,0.9098,0.95,5000
50,0.006999999999999999,0.35,0.15,jeffreys,0.9408,0.05667896883026933,0.0592,0.95,5000
